col1,col2,modifier_indicator
00100,95721,0
00100,95722,0
00100,95723,0
00100,95724,0
00100,95725,0
00100,95726,0
00100,95812,0
00100,95813,0
00100,95816,0
00100,95819,0
00100,95822,0
00100,95829,0
00100,95955,0
00100,95956,0
00100,95957,0
00100,96360,0
00100,96365,0
00100,96372,0
00100,96373,0
00100,96374,0
00100,96375,0
00100,96376,0
00100,96377,0
00100,96523,0
00100,99143,0
00100,99144,0
00100,99145,0
00100,99148,0
00100,99149,0
00100,99150,0
00100,99151,0
00100,99152,0
00100,99153,0
00100,99155,0
00100,99156,0
00100,99157,0
00100,99201,0
00100,99201,0
00100,99202,0
00100,99202,0
00100,99203,0
00100,99203,0
00100,99204,0
00100,99204,0
00100,99205,0
00100,99205,0
00100,99211,0
00100,99211,0
00100,99212,0
00100,99212,0
00100,99213,0
00100,99213,0
00100,99214,0
00100,99214,0
00100,99215,0
00100,99215,0
00100,99217,0
00100,99217,0
00100,99218,0
00100,99218,0
00100,99219,0
00100,99219,0
00100,99220,0
00100,99220,0
00100,99221,0
00100,99221,0
00100,99222,0
00100,99222,0
00100,99223,0
00100,99223,0
00100,99224,0
00100,99224,0
00100,99225,0
00100,99225,0
00100,99226,0
00100,99226,0
00100,99231,0
00100,99231,0
00100,99232,0
00100,99232,0
00100,99233,0
00100,99233,0
00100,99234,0
00100,99234,0
00100,99235,0
00100,99235,0
00100,99236,0
00100,99236,0
00100,99238,0
00100,99238,0
00100,99239,0
00100,99239,0
00100,99241,0
00100,99242,0
00100,99243,0
00100,99244,0
00100,99245,0
00100,99251,0
00100,99252,0
00100,99253,0
00100,99254,0
00100,99255,0
00100,99261,0
00100,99262,0
00100,99263,0
00100,99271,0
00100,99272,0
00100,99273,0
00100,99274,0
00100,99275,0
00100,99281,0
00100,99281,0
00100,99282,0
00100,99282,0
00100,99283,0
00100,99283,0
00100,99284,0
00100,99284,0
00100,99285,0
00100,99285,0
00100,99288,0
00100,99293,0
00100,99294,0
00100,99295,0
00100,99296,0
00100,99297,0
00100,99298,0
00100,99299,0
00100,99300,0
00100,99301,0
00100,99302,0
00100,99303,0
00100,99304,0
00100,99304,0
00100,99305,0
00100,99305,0
00100,99306,0
00100,99306,0
00100,99307,0
00100,99307,0
00100,99308,0
00100,99308,0
00100,99309,0
00100,99309,0
00100,99310,0
00100,99310,0
00100,99311,0
00100,99312,0
00100,99313,0
00100,99315,0
00100,99315,0
00100,99318,0
00100,99321,0
00100,99322,0
00100,99323,0
00100,99324,0
00100,99325,0
00100,99326,0
00100,99327,0
00100,99327,0
00100,99328,0
00100,99328,0
00100,99331,0
00100,99332,0
00100,99333,0
00100,99334,0
00100,99334,0
00100,99335,0
00100,99335,0
00100,99336,0
00100,99336,0
00100,99337,0
00100,99337,0
00100,99341,0
00100,99341,0
00100,99342,0
00100,99342,0
00100,99343,0
00100,99343,0
00100,99347,0
00100,99347,0
00100,99348,0
00100,99348,0
00100,99349,0
00100,99349,0
00100,99351,0
00100,99352,0
00100,99353,0
00100,99354,0
00100,99354,0
00100,99355,0
00100,99355,0
00100,99356,0
00100,99356,0
00100,99357,0
00100,99357,0
00100,99358,0
00100,99359,0
00100,99415,0
00100,99416,0
00100,99418,0
00100,99446,0
00100,99447,0
00100,99448,0
00100,99449,0
00100,99451,0
00100,99452,0
00100,99466,0
00100,99468,0
00100,99468,0
